,timestamp,equity,profit_loss,profit_loss_pct,base_value,base_value_asof,timeframe
84,1713614400,99997.92000000001,-2.0800000000017462,1.0,100000.0,2024-04-18,5Min
85,1713614700,99998.28,-1.7200000000011642,1.0,100000.0,2024-04-18,5Min
86,1713615000,99998.0,-2.0,1.0,100000.0,2024-04-18,5Min
87,1713615300,99998.26999999999,-1.7299999999959255,1.0,100000.0,2024-04-18,5Min
88,1713615600,99998.10999999999,-1.889999999999418,1.0,100000.0,2024-04-18,5Min
89,1713615900,99997.70000000001,-2.3000000000029104,1.0,100000.0,2024-04-18,5Min
90,1713616200,99997.70000000001,-2.3000000000029104,1.0,100000.0,2024-04-18,5Min
91,1713616500,99998.32999999999,-1.6699999999982538,1.0,100000.0,2024-04-18,5Min
92,1713616800,99998.32999999999,-1.6699999999982538,1.0,100000.0,2024-04-18,5Min
93,1713617100,99998.34,-1.6600000000034925,1.0,100000.0,2024-04-18,5Min
94,1713617400,99998.35,-1.6499999999941792,1.0,100000.0,2024-04-18,5Min
95,1713617700,99998.34,-1.6600000000034925,1.0,100000.0,2024-04-18,5Min
96,1713618000,99998.34,-1.6600000000034925,1.0,100000.0,2024-04-18,5Min
97,1713618300,99998.35,-1.6499999999941792,1.0,100000.0,2024-04-18,5Min
98,1713618600,99998.35,-1.6499999999941792,1.0,100000.0,2024-04-18,5Min
99,1713618900,99998.34,-1.6600000000034925,1.0,100000.0,2024-04-18,5Min
100,1713619200,99998.34,-1.6600000000034925,1.0,100000.0,2024-04-18,5Min
101,1713619500,99998.34,-1.6600000000034925,1.0,100000.0,2024-04-18,5Min
102,1713619800,99998.35,-1.6499999999941792,1.0,100000.0,2024-04-18,5Min
103,1713620100,99998.35,-1.6499999999941792,1.0,100000.0,2024-04-18,5Min
104,1713620400,99998.35,-1.6499999999941792,1.0,100000.0,2024-04-18,5Min
105,1713620700,99998.35,-1.6499999999941792,1.0,100000.0,2024-04-18,5Min
106,1713621000,99997.89000000001,-2.110000000000582,1.0,100000.0,2024-04-18,5Min
107,1713621300,99997.47,-2.529999999998836,1.0,100000.0,2024-04-18,5Min
108,1713621600,99997.53,-2.470000000001164,1.0,100000.0,2024-04-18,5Min
109,1713621900,99997.84,-2.1600000000034925,1.0,100000.0,2024-04-18,5Min
110,1713622200,99997.47,-2.529999999998836,1.0,100000.0,2024-04-18,5Min
111,1713622500,99997.47,-2.529999999998836,1.0,100000.0,2024-04-18,5Min
112,1713622800,99997.64000000001,-2.360000000000582,1.0,100000.0,2024-04-18,5Min
113,1713623100,99997.23999999999,-2.7599999999947613,1.0,100000.0,2024-04-18,5Min
114,1713623400,99997.01999999999,-2.9799999999959255,1.0,100000.0,2024-04-18,5Min
115,1713623700,99996.92000000001,-3.0800000000017462,1.0,100000.0,2024-04-18,5Min
116,1713624000,99996.94,-3.0599999999976717,1.0,100000.0,2024-04-18,5Min
117,1713624300,99997.32,-2.679999999993015,1.0,100000.0,2024-04-18,5Min
