,trade,price,time,log
102,sell,65323.51,1713633632.340218,sell at 65323.51 at 1713633632.340218
103,buy,65235.04,1713634546.0676365,buy at 65235.04 at 1713634546.0676365
104,buy,65075.01,1713636676.7897384,buy at 65075.01 at 1713636676.7897384
105,buy,65075.01,1713636738.9817102,buy at 65075.01 at 1713636738.9817102
106,buy,65029.47,1713636983.4337754,buy at 65029.47 at 1713636983.4337754
107,buy,64975.05,1713637288.6204019,buy at 64975.05 at 1713637288.6204019
108,sell,64793.2,1713649443.2776437,sell at 64793.2 at 1713649443.2776437
109,sell,64793.2,1713649504.3208911,sell at 64793.2 at 1713649504.3208911
110,sell,64793.2,1713649565.035591,sell at 64793.2 at 1713649565.035591
111,sell,64793.2,1713649625.8056767,sell at 64793.2 at 1713649625.8056767
112,sell,64793.2,1713649686.5206242,sell at 64793.2 at 1713649686.5206242
113,buy,64782.16,1713650053.0040987,buy at 64782.16 at 1713650053.0040987
114,buy,64661.29,1713650358.2952774,buy at 64661.29 at 1713650358.2952774
115,buy,64661.29,1713650420.672215,buy at 64661.29 at 1713650420.672215
116,buy,64661.29,1713650482.8316383,buy at 64661.29 at 1713650482.8316383
117,buy,64661.29,1713650545.0347574,buy at 64661.29 at 1713650545.0347574
118,buy,64661.29,1713650607.3048525,buy at 64661.29 at 1713650607.3048525
119,buy,64659.02,1713650973.2245507,buy at 64659.02 at 1713650973.2245507
120,buy,64633.08,1713651278.4062073,buy at 64633.08 at 1713651278.4062073
121,sell,64901.36,1713655229.2599862,sell at 64901.36 at 1713655229.2599862
122,sell,64901.36,1713655290.8080614,sell at 64901.36 at 1713655290.8080614
123,sell,64901.36,1713655352.334921,sell at 64901.36 at 1713655352.334921
124,sell,64901.36,1713655413.9629939,sell at 64901.36 at 1713655413.9629939
125,sell,64941.55,1713655841.041971,sell at 64941.55 at 1713655841.041971
126,buy,64889.55,1713656146.5560691,buy at 64889.55 at 1713656146.5560691
127,buy,64875.88,1713657059.2591662,buy at 64875.88 at 1713657059.2591662
128,buy,64860.32,1713658274.6347408,buy at 64860.32 at 1713658274.6347408
129,buy,64722.85,1713659795.8704972,buy at 64722.85 at 1713659795.8704972
130,buy,64722.85,1713659858.1828282,buy at 64722.85 at 1713659858.1828282
131,sell,64908.36,1713661631.2089932,sell at 64908.36 at 1713661631.2089932
132,sell,64908.36,1713661691.9730253,sell at 64908.36 at 1713661691.9730253
133,sell,64908.36,1713661752.6658695,sell at 64908.36 at 1713661752.6658695
134,sell,64908.36,1713661813.4372346,sell at 64908.36 at 1713661813.4372346
135,sell,64935.66,1713662238.843551,sell at 64935.66 at 1713662238.843551
136,sell,65089.36,1713662542.5829716,sell at 65089.36 at 1713662542.5829716
137,sell,65089.36,1713662603.2205935,sell at 65089.36 at 1713662603.2205935
138,sell,65089.36,1713662663.898793,sell at 65089.36 at 1713662663.898793
139,sell,65089.36,1713662724.5640717,sell at 65089.36 at 1713662724.5640717
140,sell,65089.36,1713662785.2817142,sell at 65089.36 at 1713662785.2817142
141,sell,65034.62,1713663757.5192199,sell at 65034.62 at 1713663757.5192199
142,sell,65205.15,1713666185.674006,sell at 65205.15 at 1713666185.674006
143,sell,65205.15,1713666246.3173568,sell at 65205.15 at 1713666246.3173568
144,sell,65205.15,1713666307.0145612,sell at 65205.15 at 1713666307.0145612
145,sell,65205.15,1713666367.6617286,sell at 65205.15 at 1713666367.6617286
146,sell,65294.95,1713666489.1553369,sell at 65294.95 at 1713666489.1553369
147,sell,65294.95,1713666549.8280497,sell at 65294.95 at 1713666549.8280497
148,buy,65167.07,1713667405.1699736,buy at 65167.07 at 1713667405.1699736
149,buy,65167.07,1713667467.2705834,buy at 65167.07 at 1713667467.2705834
150,buy,65167.07,1713667529.340646,buy at 65167.07 at 1713667529.340646
151,sell,65322.91,1713668319.4492373,sell at 65322.91 at 1713668319.4492373
152,sell,65598.77,1713668927.402905,sell at 65598.77 at 1713668927.402905
153,sell,65598.77,1713668989.5404572,sell at 65598.77 at 1713668989.5404572
154,sell,65598.77,1713669050.2153707,sell at 65598.77 at 1713669050.2153707
155,sell,65598.77,1713669110.835081,sell at 65598.77 at 1713669110.835081
