Epoch Time,Open Price,High Price,Low Price,Close Price,Volume
1713662700.000000,64982.290000,65040.360000,65020.410000,64983.090000,1.013172
1713662640.000000,65007.790000,65076.350000,65070.760000,65011.240000,3.010646
1713662580.000000,65058.090000,65108.030000,65065.150000,65076.370000,2.037329
1713662520.000000,65060.960000,65120.430000,65120.430000,65064.170000,26.552627
1713662460.000000,65017.470000,65142.400000,65020.130000,65120.560000,8.594077
1713662400.000000,64992.340000,65033.280000,65000.000000,65020.140000,7.657898
1713662340.000000,64945.330000,65000.000000,64960.380000,65000.000000,1.073977
1713662280.000000,64953.880000,64980.960000,64978.860000,64953.880000,0.811037
1713662220.000000,64935.650000,64985.670000,64938.790000,64982.800000,0.533619
1713662160.000000,64935.640000,64975.720000,64963.510000,64943.160000,0.496854
1713662100.000000,64906.460000,64985.230000,64930.300000,64973.470000,8.756801
1713662040.000000,64891.570000,64930.960000,64915.530000,64930.310000,2.040443
1713661980.000000,64912.040000,64930.960000,64919.880000,64915.540000,0.608100
1713661920.000000,64907.540000,64930.960000,64910.100000,64927.750000,0.861478
1713661860.000000,64894.400000,64918.810000,64906.850000,64910.110000,0.470899
1713661800.000000,64894.900000,64916.400000,64912.570000,64906.860000,0.445004
1713661740.000000,64893.760000,64923.800000,64919.100000,64916.400000,0.512195
1713661680.000000,64875.410000,64923.160000,64875.410000,64923.160000,1.820459
1713661620.000000,64870.750000,64914.220000,64911.000000,64876.400000,1.210470
1713661560.000000,64897.340000,64942.020000,64901.550000,64908.360000,1.903384
1713661500.000000,64897.230000,64964.970000,64945.770000,64897.230000,1.271373
1713661440.000000,64891.000000,64955.990000,64901.840000,64947.480000,1.529104
1713661380.000000,64900.600000,64941.950000,64940.420000,64906.600000,1.376887
1713661320.000000,64818.310000,64937.920000,64818.310000,64937.920000,2.858940
1713661260.000000,64798.680000,64838.750000,64826.450000,64818.090000,0.744886
1713661200.000000,64765.400000,64830.570000,64794.960000,64824.510000,1.727180
1713661140.000000,64776.310000,64815.160000,64815.160000,64792.650000,3.058150
1713661080.000000,64786.210000,64817.200000,64791.470000,64809.220000,1.129191
1713661020.000000,64776.750000,64813.630000,64800.000000,64791.530000,3.694656
1713660960.000000,64774.320000,64800.000000,64780.000000,64799.990000,2.168629
1713660900.000000,64731.390000,64792.640000,64742.070000,64780.000000,1.502338
1713660840.000000,64721.530000,64754.590000,64732.870000,64742.080000,1.028860
1713660780.000000,64701.430000,64735.570000,64727.330000,64732.960000,1.387180
1713660720.000000,64683.480000,64720.770000,64692.410000,64720.770000,1.064498
1713660660.000000,64669.930000,64698.660000,64691.770000,64692.410000,0.659259
1713660600.000000,64670.330000,64703.580000,64678.880000,64699.080000,0.912650
1713660540.000000,64637.190000,64689.180000,64647.420000,64678.880000,0.955015
1713660480.000000,64632.280000,64673.520000,64670.550000,64644.050000,2.141008
1713660420.000000,64671.770000,64713.670000,64678.450000,64680.720000,1.513629
1713660360.000000,64675.440000,64716.800000,64694.880000,64681.960000,2.400333
1713660300.000000,64681.970000,64734.720000,64734.720000,64695.040000,2.465542
1713660240.000000,64704.290000,64734.720000,64723.240000,64729.960000,0.627560
1713660180.000000,64682.210000,64733.130000,64695.680000,64719.510000,1.413986
1713660120.000000,64692.160000,64759.520000,64753.460000,64699.430000,2.663614
1713660060.000000,64708.450000,64763.840000,64716.810000,64750.000000,2.009815
1713660000.000000,64658.260000,64725.930000,64681.360000,64716.810000,3.922416
1713659940.000000,64666.240000,64711.830000,64710.000000,64686.890000,3.960114
1713659880.000000,64714.740000,64803.820000,64794.980000,64721.830000,2.877591
1713659820.000000,64763.960000,64809.400000,64790.290000,64800.940000,2.547953
1713659760.000000,64696.550000,64797.950000,64698.750000,64784.070000,4.609026
1713659700.000000,64683.430000,64785.360000,64780.000000,64701.700000,4.234760
1713659640.000000,64768.540000,64816.990000,64798.580000,64780.000000,3.016508
1713659580.000000,64783.510000,64853.320000,64851.150000,64801.170000,4.598843
1713659520.000000,64846.710000,64883.880000,64883.880000,64851.340000,1.378998
1713659460.000000,64843.700000,64893.180000,64882.170000,64883.890000,2.078875
1713659400.000000,64862.790000,64910.980000,64900.540000,64882.180000,1.055704
1713659340.000000,64895.220000,64914.260000,64901.010000,64905.590000,1.291930
1713659280.000000,64870.400000,64903.360000,64870.400000,64895.900000,5.725937
1713659220.000000,64843.420000,64880.360000,64870.560000,64873.770000,2.768252
1713659160.000000,64858.470000,64877.020000,64877.020000,64866.150000,1.471661
1713659100.000000,64861.550000,64880.450000,64876.040000,64878.450000,0.395060
1713659040.000000,64843.210000,64880.470000,64876.960000,64880.450000,1.909775
1713658980.000000,64856.060000,64880.100000,64880.100000,64873.850000,3.517186
1713658920.000000,64851.160000,64888.270000,64886.310000,64868.480000,0.823116
1713658860.000000,64879.800000,64910.960000,64910.960000,64887.020000,0.453874
1713658800.000000,64890.710000,64928.260000,64918.960000,64917.210000,1.798626
1713658740.000000,64893.550000,64945.430000,64893.760000,64912.550000,2.193338
1713658680.000000,64864.080000,64893.760000,64885.310000,64893.750000,0.600504
1713658620.000000,64832.090000,64895.340000,64844.710000,64881.120000,3.214842
1713658560.000000,64826.910000,64870.250000,64863.180000,64849.280000,2.568433
1713658500.000000,64853.390000,64931.680000,64918.190000,64868.600000,1.191433
1713658440.000000,64858.860000,64908.220000,64858.860000,64908.220000,1.250488
1713658380.000000,64839.220000,64868.240000,64843.380000,64858.580000,0.646787
1713658320.000000,64835.400000,64881.120000,64871.980000,64839.190000,3.251053
1713658260.000000,64839.910000,64891.280000,64851.860000,64868.480000,2.568463
1713658200.000000,64848.010000,64879.820000,64855.810000,64856.410000,1.352798
1713658140.000000,64814.180000,64867.220000,64825.780000,64855.830000,2.286394
1713658080.000000,64792.650000,64863.290000,64806.010000,64830.280000,3.575536
1713658020.000000,64808.950000,64855.840000,64855.840000,64814.350000,1.248605
1713657960.000000,64845.710000,64909.190000,64886.450000,64860.170000,1.571794
1713657900.000000,64852.100000,64924.380000,64893.760000,64889.620000,1.739187
1713657840.000000,64780.010000,64916.980000,64783.180000,64891.010000,3.558057
1713657780.000000,64767.340000,64815.700000,64796.630000,64776.910000,1.582277
1713657720.000000,64782.680000,64865.880000,64865.880000,64796.640000,7.336376
1713657660.000000,64833.050000,64911.290000,64906.400000,64874.950000,7.125723
1713657600.000000,64905.950000,64985.950000,64960.820000,64905.950000,1.811404
1713657540.000000,64960.590000,64995.300000,64986.940000,64968.870000,1.654009
1713657480.000000,64978.660000,65013.770000,65007.520000,64986.650000,1.981794
1713657420.000000,64941.660000,65020.050000,64941.670000,65007.530000,5.456159
1713657360.000000,64920.950000,64948.910000,64928.790000,64932.360000,0.495753
1713657300.000000,64893.790000,64931.140000,64903.040000,64928.570000,1.943145
1713657240.000000,64875.420000,64910.410000,64896.780000,64905.990000,2.369106
1713657180.000000,64885.000000,64913.250000,64913.250000,64896.790000,0.781080
1713657120.000000,64871.180000,64914.260000,64876.460000,64913.250000,1.178666
1713657060.000000,64855.840000,64879.040000,64855.840000,64876.520000,0.338027
1713657000.000000,64856.090000,64893.540000,64882.870000,64864.530000,1.100493
1713656940.000000,64869.450000,64919.980000,64919.980000,64882.880000,5.279842
1713656880.000000,64888.350000,64926.970000,64893.940000,64915.970000,1.029549
1713656820.000000,64890.910000,64927.520000,64919.020000,64895.720000,1.683324
1713656760.000000,64895.010000,64964.990000,64896.960000,64916.480000,1.267328
1713656700.000000,64895.100000,64944.300000,64927.140000,64901.920000,1.192386
1713656640.000000,64872.010000,64948.010000,64881.120000,64928.270000,1.250838
1713656580.000000,64847.000000,64901.680000,64847.810000,64888.190000,1.260857
1713656520.000000,64838.720000,64863.590000,64857.430000,64853.410000,0.306139
1713656460.000000,64844.930000,64898.910000,64892.090000,64864.140000,1.126696
1713656400.000000,64881.390000,64900.760000,64881.400000,64887.220000,1.522576
1713656340.000000,64881.120000,64909.710000,64909.710000,64889.740000,0.641000
1713656280.000000,64871.810000,64918.990000,64871.810000,64903.110000,1.093992
1713656220.000000,64868.480000,64912.380000,64910.460000,64871.820000,1.425760
1713656160.000000,64887.270000,64955.890000,64895.250000,64911.770000,3.353619
1713656100.000000,64888.000000,64913.950000,64895.940000,64899.420000,2.849847
1713656040.000000,64899.050000,64944.300000,64938.860000,64900.000000,2.532188
1713655980.000000,64914.490000,64947.640000,64946.910000,64937.620000,0.841889
1713655920.000000,64935.620000,64959.540000,64942.020000,64947.240000,1.181063
1713655860.000000,64938.520000,64969.540000,64953.050000,64941.790000,0.895003
1713655800.000000,64909.270000,64967.160000,64944.580000,64954.740000,2.319194
1713655740.000000,64915.330000,64951.610000,64925.380000,64944.940000,2.037307
1713655680.000000,64913.940000,64939.990000,64924.620000,64925.380000,3.304220
1713655620.000000,64920.350000,64963.460000,64931.680000,64925.140000,0.846335
1713655560.000000,64888.000000,64938.230000,64910.850000,64931.690000,1.489847
1713655500.000000,64888.000000,64914.720000,64914.300000,64908.550000,3.284621
1713655440.000000,64907.200000,64972.830000,64931.680000,64914.300000,3.350191
1713655380.000000,64906.400000,64942.620000,64908.200000,64935.090000,0.553859
1713655320.000000,64876.190000,64916.660000,64889.740000,64913.070000,1.631307
1713655260.000000,64882.950000,64903.410000,64899.220000,64889.860000,0.697094
1713655200.000000,64860.520000,64909.070000,64860.520000,64905.220000,2.918376
1713655140.000000,64856.690000,64890.440000,64884.130000,64856.690000,0.594786
1713655080.000000,64876.250000,64922.880000,64917.460000,64884.740000,1.851597
1713655020.000000,64791.610000,64930.010000,64807.550000,64917.860000,4.779256
1713654960.000000,64798.430000,64820.220000,64813.930000,64807.190000,0.959685
1713654900.000000,64810.290000,64827.860000,64813.870000,64812.360000,1.119108
1713654840.000000,64776.070000,64821.310000,64777.680000,64813.040000,2.949929
1713654780.000000,64766.710000,64800.000000,64798.300000,64776.220000,2.076125
1713654720.000000,64753.680000,64807.960000,64755.850000,64804.020000,2.042319
1713654660.000000,64724.930000,64765.810000,64728.520000,64754.720000,1.043037
1713654600.000000,64710.830000,64767.350000,64754.230000,64728.530000,4.827858
1713654540.000000,64743.310000,64772.380000,64772.380000,64752.970000,3.220003
1713654480.000000,64739.340000,64797.040000,64739.340000,64771.830000,3.560986
1713654420.000000,64728.190000,64744.470000,64735.540000,64739.340000,0.530583
1713654360.000000,64726.620000,64760.480000,64731.580000,64734.750000,1.123110
1713654300.000000,64675.500000,64742.080000,64675.500000,64739.760000,2.594082
1713654240.000000,64668.000000,64686.290000,64672.980000,64673.760000,0.992377
1713654180.000000,64668.130000,64704.150000,64687.570000,64678.330000,0.924129
1713654120.000000,64643.490000,64688.280000,64666.240000,64688.110000,2.170080
1713654060.000000,64655.090000,64680.990000,64669.550000,64665.240000,0.928043
1713654000.000000,64636.380000,64678.880000,64636.490000,64678.880000,2.045160
1713653940.000000,64636.180000,64687.020000,64669.470000,64636.430000,1.715350
1713653880.000000,64671.600000,64698.860000,64697.420000,64671.600000,1.330228
1713653820.000000,64674.880000,64706.000000,64679.640000,64700.380000,1.641105
1713653760.000000,64640.970000,64693.010000,64664.200000,64681.690000,2.035337
1713653700.000000,64657.920000,64696.940000,64691.530000,64661.250000,1.049675
1713653640.000000,64644.670000,64694.510000,64655.250000,64691.520000,1.221499
1713653580.000000,64650.830000,64695.660000,64668.330000,64654.900000,2.887423
1713653520.000000,64654.910000,64678.220000,64674.550000,64664.200000,1.704890
1713653460.000000,64623.000000,64678.270000,64634.000000,64676.200000,1.914674
1713653400.000000,64616.150000,64671.540000,64671.520000,64633.780000,1.330343
1713653340.000000,64663.440000,64725.100000,64716.800000,64672.460000,0.979233
1713653280.000000,64655.490000,64729.500000,64657.050000,64718.470000,1.275654
1713653220.000000,64638.280000,64664.580000,64638.280000,64657.050000,1.135242
1713653160.000000,64619.240000,64664.560000,64628.320000,64637.200000,2.789548
1713653100.000000,64620.500000,64698.660000,64670.150000,64624.670000,1.618652
1713653040.000000,64639.510000,64676.140000,64643.780000,64670.140000,0.901556
1713652980.000000,64630.740000,64672.420000,64672.420000,64644.700000,0.962026
1713652920.000000,64666.930000,64693.480000,64668.120000,64674.350000,0.669187
1713652860.000000,64653.600000,64694.120000,64694.120000,64668.110000,1.637244
1713652800.000000,64641.000000,64704.170000,64658.620000,64694.020000,3.313771
1713652740.000000,64652.050000,64682.710000,64673.690000,64652.050000,0.434138
1713652680.000000,64659.920000,64704.140000,64691.600000,64675.170000,0.876610
